mjd,ztf_g,ztf_r,asassn_g,asassn_v,catalina_v,atlas_c,atlas_o
53355,16.79756456042632,16.368475488511457,16.86690471350434,16.421369664542304,16.421369664542304,16.65792215824848,16.36515695598651
59831,16.895075804019,16.685999789366555,16.923148420975853,16.931743463669896,16.931743463669896,16.92575117421201,16.640827603828527
60195,,16.732647102510946,,17.18820679866564,17.18820679866564,17.293128510740836,16.772219072567445
60550,16.870077445120643,16.508602941023362,16.925445889207808,16.703709364472342,16.703709364472342,16.802966659850014,16.49743463698724
