mjd,ztf_g,ztf_r,asassn_g,asassn_v,catalina_v,atlas_c,atlas_o
53355,18.62631711595213,18.19722804403727,18.695657269030153,18.250122220068114,18.250122220068114,18.486674713774292,18.193909511512324
59831,17.762831153184234,17.553755138531784,17.790903770141085,17.79949881283513,17.79949881283513,17.793506523377243,17.508582952993756
60195,,17.082207418388663,,17.537767114543353,17.537767114543353,17.642688826618553,17.12177938844516
60550,16.870077445120643,16.508602941023362,16.925445889207808,16.703709364472342,16.703709364472342,16.802966659850014,16.49743463698724
