mjd,ztf_g,ztf_r,asassn_g,asassn_v,catalina_v,atlas_c,atlas_o
53355,17.35300901029041,16.923919938375548,17.42234916336843,16.976814114406395,16.976814114406395,17.21336660811257,16.9206014058506
59831,16.751107500389477,16.54203148573703,16.77918011734633,16.787775160040372,16.787775160040372,16.781782870582486,16.496859300199
60195,,16.7326471055072,,17.18820680166189,17.18820680166189,17.29312851373709,16.772219075563697
60550,16.870077445120643,16.508602941023362,16.925445889207808,16.703709364472342,16.703709364472342,16.802966659850014,16.49743463698724
