mjd,ztf_g,ztf_r,asassn_g,asassn_v,catalina_v,atlas_c,atlas_o
53355,16.933319483562848,16.50423041164799,17.002659636640868,16.55712458767883,16.55712458767883,16.793677081385006,16.500911879123038
59831,16.882064522671637,16.67298850801919,16.91013713962849,16.918732182322533,16.918732182322533,16.912739892864646,16.627816322481163
60195,,16.643304497875317,,17.09886419403001,17.09886419403001,17.203785906105207,16.682876467931816
60550,16.870077445120643,16.508602941023362,16.925445889207808,16.703709364472342,16.703709364472342,16.802966659850014,16.49743463698724
